TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-45383-2024","2024-11-25 07:24:59","Sales","Sale","Ready","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","933000","55.89","55.89","1 B/R","G-77","Sharaf Dg Metro Station","","Motor City","1","1","","LAYA HEIGHTS"
"11-45385-2024","2024-11-25 12:57:03","Sales","Sale","Ready","Free Hold","Residential","Warsan First","Unit","Flat","1000000","86.5","86.5","2 B/R","B1-158","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Olivz Residence"
"11-45386-2024","2024-11-25 08:39:51","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","870000","38.13","38.13","Studio","P5-43","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY 2"
"11-45389-2024","2024-11-25 08:46:36","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3515000","205.51","205.51","2 B/R","B-3584","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-45390-2024","2024-11-25 09:09:01","Sales","Sale","Ready","Free Hold","Residential","AL BARARI","Unit","Flat","3500000","176.16","176.16","1 B/R","B-65, B-66","","","IMG World Adventures","1","1","","Seventh Heaven - Ashjar"
"11-45391-2024","2024-11-25 09:57:12","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","720000","93","93","1 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","",""
"11-45392-2024","2024-11-25 09:42:10","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","3400000","221.9","221.9","4 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","2","2","",""
"11-45393-2024","2024-11-25 09:15:52","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1390000","98.38","98.38","1 B/R","B1-1041","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","THE ATRIA"
"11-45394-2024","2024-11-25 09:47:21","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","750000","86.56","86.56","1 B/R","B1-088","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","3","1","","PLAZA RESIDENCES"
"11-45395-2024","2024-11-25 14:27:40","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3200000","305.65","305.65","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Emirates Living - Springs 2"
"11-45396-2024","2024-11-25 09:36:19","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1400000","137.95","137.95","3 B/R"," B-312","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ELITE 10 SPORTS RESIDENCE"
"11-45397-2024","2024-11-25 09:29:31","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH GOLF","Land","Residential","2970000","137.6","137.6","","","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","ALandalus Townhouse"
"11-45398-2024","2024-11-25 09:51:32","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1000000","41.15","41.15","Studio","B1-95","Jumeirah Lakes Towers","Marina Mall","Burj Al Arab","1","1","","WEST AVENUE"
"11-45399-2024","2024-11-25 10:06:28","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2700000","127.09","127.09","2 B/R","P1-49","Mina Seyahi","Marina Mall","Burj Al Arab","2","1","","OCEAN HEIGHTS"
"11-45400-2024","2024-11-25 09:55:54","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","1730000","69.12","69.12","1 B/R","B2-13","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","",""
"11-45401-2024","2024-11-25 12:44:55","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","800000","74.69","74.69","1 B/R","P-16","Rashidiya Metro Station","City Centre Mirdif","","1","1","",""
"11-45402-2024","2024-11-25 13:01:47","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","800000","74.69","74.69","1 B/R","G-28","Rashidiya Metro Station","City Centre Mirdif","","1","1","",""
"11-45403-2024","2024-11-25 10:13:52","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","6000000","295.36","295.36","4 B/R","P1-67,P1-68","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","PRINCESS TOWER"
"11-45404-2024","2024-11-25 09:44:19","Sales","Sale","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1512905","136.57","136.57","2 B/R","GZ3I12","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","1","1","","MIDTOWN - DANIA"
"11-45405-2024","2024-11-25 09:55:59","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1800000","129.15","129.15","2 B/R","B1-55","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","BURJ AL NUJOOM"
"11-45406-2024","2024-11-25 09:41:21","Sales","Sale","Ready","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","900000","55.89","55.89","1 B/R","B-66","Sharaf Dg Metro Station","","Motor City","1","1","","LAYA HEIGHTS"
"11-45408-2024","2024-11-25 11:36:27","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","3150000","167.83","167.83","2 B/R","Building 9-B3-34","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"11-45410-2024","2024-11-25 09:46:42","Sales","Sale","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","365000","33.93","33.93","Studio","B1-416","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","LAKESIDE"
"11-45411-2024","2024-11-25 11:19:22","Sales","Sale","Ready","Free Hold","Commercial","DUBAI SPORTS CITY","Land","Industrial","3850000","303.17","303.17","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","GALLERY VILLAS"
"11-45412-2024","2024-11-25 10:22:18","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","1350000","83.3","83.3","1 B/R","G-91","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"11-45413-2024","2024-11-25 11:20:58","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1525000","174.8","174.8","","","","","","2","1",""," DAMAC HILLS (2)  - SANCTNARY"
"11-45414-2024","2024-11-25 11:47:22","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah First","Land","Residential","17000000","1601.64","1601.64","","","Financial Centre","Dubai Mall","Burj Khalifa","1","7","",""
"11-45415-2024","2024-11-25 10:41:51","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Unit","Flat","530000","37.82","37.82","Studio","L1-A241","","","Motor City","1","2","","DAMAC HILLS - CARSON "
"11-45416-2024","2024-11-25 11:09:10","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1200000","62.06","62.06","Studio","B2-2190","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CLAREN 1"
"11-45417-2024","2024-11-25 10:10:37","Sales","Sale","Ready","Free Hold","Residential","Warsan First","Unit","Flat","680000","58.59","58.59","1 B/R","B2-64","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Olivz Residence"
"11-45418-2024","2024-11-25 10:35:35","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","555000","45.57","45.57","Studio","B1-216","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","SHAMAL WAVES"
"11-45419-2024","2024-11-25 10:36:39","Sales","Sale","Ready","Free Hold","Residential","NAD AL SHEBA GARDENS","Land","Villa","10500000","930.26","930.26","","","Business Bay Metro Station","Dubai Mall","IMG World Adventures","1","1","",""
"11-45420-2024","2024-11-25 10:21:42","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2220000","108.95","108.95","1 B/R","P1-359","Marina Towers","Marina Mall","Burj Al Arab","1","1","",""
"11-45421-2024","2024-11-25 10:50:24","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1900000","85.69","85.69","1 B/R","B-369","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","","ACACIA AT PARK HEIGHTS"
"11-45422-2024","2024-11-25 11:31:12","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1480000","71.27","71.27","1 B/R","B-059","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","1","1","",""
"11-45423-2024","2024-11-25 10:33:33","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","4500000","158.79","158.79","2 B/R","B2-2304","Palm Jumeirah","Marina Mall","Burj Al Arab","1","2","",""
"11-45424-2024","2024-11-25 12:27:51","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1830000","59.46","59.46","1 B/R","B5-47","Dubai Marina","Marina Mall","Burj Al Arab","1","1","","NO 9"
"11-45425-2024","2024-11-25 11:04:19","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1670000","174.81","174.81","","","","","","1","1","","DAMAC HILLS (2) - PACIFICA "
"11-45426-2024","2024-11-25 10:21:45","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Land","Residential","5850000","502.33","502.33","","","","","Motor City","2","1","","DAMAC HILLS - PICCADILLY GREEN"
"11-45427-2024","2024-11-25 10:44:57","Sales","Sale","Ready","Free Hold","Residential","THE GREENS","Unit","Flat","1870000","78.69","78.69","1 B/R","G-77","Nakheel Metro Station","Marina Mall","Burj Al Arab","1","1","",""
"11-45428-2024","2024-11-25 10:30:29","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1520000","62.15","62.15","1 B/R","P2-65","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","1","1","","Prive Residence"
"11-45429-2024","2024-11-25 10:41:36","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","1245000","94.89","94.89","2 B/R","B-109","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","Remraam - Al Ramth","GENESIS"
"11-45430-2024","2024-11-25 10:32:45","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1695000","151.8","151.8","","","","","","1","1","","DAMAC HILLS (2) - CENTAURY "
"11-45431-2024","2024-11-25 12:09:43","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","4019819","239.27","239.27","3 B/R","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","2","",""
"11-45432-2024","2024-11-25 10:46:56","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","4500000","165.09","165.09","2 B/R","B-230","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","EMERALD PALACE KEMPINSKI"
"11-45433-2024","2024-11-25 11:32:55","Sales","Sale","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","770000","123.38","123.38","2 B/R","P3-153","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","THE CRESCENT"
"11-45434-2024","2024-11-25 11:06:04","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3000000","258.65","258.65","2 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","2","","Emirates Living - Springs 8"
"11-45435-2024","2024-11-25 11:32:59","Sales","Sale","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","450000","46.08","46.08","Studio","B-34","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","LAGO VISTA"
"11-45436-2024","2024-11-25 12:23:45","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Land","Residential","24400000","2640.2","2640.2","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","RELIANCE 9"
"11-45437-2024","2024-11-25 11:03:57","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1580000","185.39","185.39","","","","","","1","1","","DAMAC HILLS (2) - CENTAURY "
"11-45438-2024","2024-11-25 10:58:20","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1150000","75.91","75.91","1 B/R","DMCC-2287","Damac Properties","Marina Mall","Burj Al Arab","1","1","","SABA TOWER 2"
"11-45439-2024","2024-11-25 10:23:59","Sales","Sale","Ready","Free Hold","Residential","DUBAI SOUTH","Land","Airport","9138271","3037.96","3037.96","","","","","","1","1","",""
"11-45440-2024","2024-11-25 11:40:19","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","500000","41.33","41.33","Studio","P2-06","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","ELITE 9 SPORTS RESIDENCE"
"11-45441-2024","2024-11-25 11:08:32","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1600000","66.98","66.98","1 B/R","B2-44","Jumeirah Lakes Towers","Marina Mall","Burj Al Arab","1","1","","WEST AVENUE"
"11-45442-2024","2024-11-25 11:57:58","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Hotel Apartment","452000","15.12","15.12","Studio","P2-47","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","2","","SLS DUBAI"
"11-45443-2024","2024-11-25 11:13:01","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","920000","97.2","97.2","2 B/R","P2-19","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Binghatti Gems"
"11-45444-2024","2024-11-25 14:30:25","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","530736","50.83","50.83","Studio","P-11","Rashidiya Metro Station","City Centre Mirdif","","1","1","",""
"11-45445-2024","2024-11-25 12:48:40","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","1548000","59.92","59.92","Office","L3 3132","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","AU TOWER"
"11-45446-2024","2024-11-25 14:16:48","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","275000","43","43","Studio","","Rashidiya Metro Station","City Centre Mirdif","","1","1","",""
"11-45448-2024","2024-11-25 11:19:04","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Unit","Flat","780000","72.31","72.31","1 B/R","B-69","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Shaista Residence"
"11-45449-2024","2024-11-25 11:22:37","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2550000","101.82","101.82","2 B/R","B2-167","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","3","","17 ICON BAY"
"11-45450-2024","2024-11-25 11:06:50","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1900000","70.44","70.44","Office","B2-13","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","2","","PRIME TOWER"
"11-45451-2024","2024-11-25 11:26:05","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","640000","71.89","71.89","1 B/R","G-98","","","Motor City","1","1","","REMRAAM"
"11-45452-2024","2024-11-25 10:59:16","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","2035000","73.89","73.89","NA","B1-30","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","THE BINARY BY OMNIYAT"
"11-45453-2024","2024-11-25 12:44:13","Sales","Sale","Ready","Free Hold","Residential","MUDON","Land","Residential","3250000","187.2","187.2","","","","","Dubai Cycling Course","2","1","","ARABELLA 2 - TOWNHOUSES AT MUDON"
"11-45454-2024","2024-11-25 12:37:58","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","2832000","109.63","109.63","Office","L3 3133, 3134","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","AU TOWER"
"11-45455-2024","2024-11-25 13:32:37","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1450000","77.99","77.99","1 B/R","B1-04","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-45456-2024","2024-11-25 12:24:19","Sales","Sale","Ready","Free Hold","Residential","Zaabeel First","Unit","Flat","8400000","187.44","187.44","2 B/R","P2-114 (Automated), P2-116 (Automated)","","","","1","1","","One Za'abeel"
"11-45458-2024","2024-11-25 11:49:52","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","3700000","124.32","124.32","1 B/R","B1-1250","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","",""
"11-45459-2024","2024-11-25 11:18:20","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH GOLF","Land","Commercial","13800000","757.68","757.68","","","Damac Properties","Ibn-e-Battuta Mall","Sports City Swimming Academy","1","2","",""
"11-45460-2024","2024-11-25 13:32:10","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","2500000","212.28","212.28","3 B/R","498-499","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","2","",""
"11-45461-2024","2024-11-25 11:38:34","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","3050000","144.68","144.68","3 B/R","L1-40","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","","BAY CENTRAL WEST & CENTRAL TOWERS"
"11-45462-2024","2024-11-25 12:03:22","Sales","Sale","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1930000","84.72","84.72","1 B/R","P5-35","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland Waves Grande"
"11-45463-2024","2024-11-25 11:43:06","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","3880000","138.43","138.43","2 B/R","B1-75","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","BANYAN TREE RESIDENCES HILLSIDE DUBAI"
"11-45465-2024","2024-11-25 11:32:05","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Hotel Apartment","3170000","84.08","84.08","1 B/R","B3-304","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","THE ADDRESS - THE BLVD"
"11-45466-2024","2024-11-25 12:37:18","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","10000000","222.22","222.22","3 B/R","1378, 1379","Knowledge Village","Marina Mall","Burj Al Arab","1","1","","TIARA RESIDENCE"
"11-45467-2024","2024-11-25 11:48:51","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Land","Residential","7800000","722.51","722.51","","","","","Motor City","1","1","","Arabian Ranches - Alvorada III"
"11-45468-2024","2024-11-25 14:08:54","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1300000","118.34","118.34","","","","","","1","1","","DAMAC HILLS (2) - MIMOSA "
"11-45469-2024","2024-11-25 11:35:52","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1050000","61.7","61.7","Studio","B4-642","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","BAY SQUARE"
"11-45470-2024","2024-11-25 12:25:30","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","510000","74.02","74.02","1 B/R","G - 147","Rashidiya Metro Station","City Centre Mirdif","","1","1","",""
"11-45471-2024","2024-11-25 12:26:08","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","5300000","429.82","429.82","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Emirates Living - Springs 11"
"11-45472-2024","2024-11-25 12:29:52","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","1520000","63.52","63.52","1 B/R","P-109, P-109A","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Harbour Gate "
"11-45473-2024","2024-11-25 13:43:09","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1950000","160.08","160.08","2 B/R","2B43","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"11-45474-2024","2024-11-25 11:36:02","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","437270","36.29","36.29","Studio","B-128","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Star Hotel Apartments"
"11-45475-2024","2024-11-25 11:31:34","Sales","Sale","Ready","Free Hold","Residential","Al Merkadh","Land","Residential","8700926","621.8","621.8","","","","","","1","1","",""
"11-45476-2024","2024-11-25 13:02:07","Sales","Sale","Ready","Free Hold","Residential","THE GREENS","Land","","227941176","5541.01","5541.01","","","Dubai Internet City","Marina Mall","Burj Al Arab","1","1","",""
"11-45477-2024","2024-11-25 13:03:27","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1883540.84","112.44","112.44","2 B/R","B3-39","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","2","","Continental Tower"
"11-45478-2024","2024-11-25 11:57:29","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","1327200","58.71","58.71","Office","L2 2141","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","AU TOWER"
"11-45480-2024","2024-11-25 13:45:45","Sales","Sale","Ready","Free Hold","Residential","Mirdif","Unit","Flat","600000","50.39","50.39","Studio","B2-05","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","MIRDIF TULIP"
"11-45481-2024","2024-11-25 11:58:45","Sales","Sale","Ready","Free Hold","Residential","MUDON","Land","Residential","4175000","297.5","297.5","","","","","","2","2","","MUDON"
"11-45482-2024","2024-11-25 11:48:04","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Building","Villa","2550000","205.74","205.74","3 B/R","","","","Dubai Cycling Course","1","1","","TOWN SQUARE ZAHRA"
"11-45483-2024","2024-11-25 12:04:42","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1170000","86.67","86.67","1 B/R","P2-105","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ELITE BUSINESS BAY RESIDENCE"
"11-45484-2024","2024-11-25 12:40:37","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1850000","180.93","180.93","2 B/R","B2-111","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CAPITAL BAY  A"
"11-45485-2024","2024-11-25 15:06:24","Sales","Sale","Ready","Free Hold","Residential","JABEL ALI HILLS","Land","","2579064.8","921.55","921.55","","","","","Dubai Parks and Resorts","2","1","",""
"11-45486-2024","2024-11-25 14:22:42","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","2350000","107.6","107.6","1 B/R","B-316","Al Sufouh","Mall of the Emirates","Burj Al Arab","1","1","","ROYAL AMWAJ"
"11-45487-2024","2024-11-25 14:46:53","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","955000","78.49","78.49","1 B/R","P3-667","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","MARINA PINNACLE"
"11-45488-2024","2024-11-25 11:52:30","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2100000","103.56","103.56","2 B/R","B2-166","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Creek Gate"
"11-45489-2024","2024-11-25 12:11:31","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1130000","74.89","74.89","1 B/R","B-54","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE HAVEN RESIDENCES "
"11-45490-2024","2024-11-25 13:39:19","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","999888","139.46","139.46","2 B/R","G-109","","","Motor City","2","1","","REMRAAM"
"11-45491-2024","2024-11-25 12:49:29","Sales","Sale","Ready","Free Hold","Residential","Mirdif","Unit","Flat","1070000","73.97","73.97","1 B/R","B2-126","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","MIRDIF HILLS- AL MULTAQA AVENUE"
"11-45492-2024","2024-11-25 12:26:33","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1900000","133.15","133.15","2 B/R","B-122","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","1","","BELGRAVIA"
"11-45493-2024","2024-11-25 12:39:42","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Unit","Flat","1422188","128.95","128.95","2 B/R","G-57","","","IMG World Adventures","1","1","",""
"11-45494-2024","2024-11-25 12:40:49","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","900000","63.65","63.65","1 B/R","P3-104","Dubai Internet City","Marina Mall","Sports City Swimming Academy","2","1","","Binghatti Lavender "
"11-45495-2024","2024-11-25 12:55:46","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","1150000","32.96","32.96","Studio","B2-395","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","Seven Hotel and Apartments The Palm"
"11-45497-2024","2024-11-25 15:09:52","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Unit","Flat","1750000","144.73","144.73","2 B/R","B-83","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","2","1","",""
"11-45498-2024","2024-11-25 12:59:53","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","770804","74.83","74.83","1 B/R","P-01","Rashidiya Metro Station","City Centre Mirdif","","1","1","",""
"11-45499-2024","2024-11-25 12:51:55","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1750000","174.8","174.8","","","","","","1","1","","DAMAC HILLS (2) - PACIFICA "
"11-45500-2024","2024-11-25 13:03:48","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","690000","38.44","38.44","Studio","G-82","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"11-45501-2024","2024-11-25 12:32:33","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1580000","73.21","73.21","1 B/R","1","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","2","","MARINA QUAYS"
